time,pos1,pos2,vel1,vel2,acc1,acc2,tau0,tau1
0.09,0.00153244,-0.0693917,-0.100307,-1.11596,-4.246,-2.26999999999999,-1.05606,-0.589833
0.091,0.00143,-0.0705088,-0.104578,-1.11813,-4.27100000000001,-2.17,-1.05789,-0.590496
0.092,0.00132327,-0.071628,-0.108873,-1.12021,-4.29499999999999,-2.07999999999986,-1.0597,-0.591154
0.093,0.00121224,-0.0727492,-0.113191,-1.1222,-4.318,-1.99000000000016,-1.06149,-0.591806
0.094,0.00109688,-0.0738723,-0.117531,-1.1241,-4.33999999999999,-1.90000000000001,-1.06325,-0.592452
0.095,0.000977175,-0.0749974,-0.121891,-1.12592,-4.36,-1.81999999999993,-1.06499,-0.593093
0.096,0.000853094,-0.0761242,-0.126273,-1.12765,-4.38199999999999,-1.73000000000001,-1.0667,-0.593727
0.097,0.000724622,-0.0772526,-0.130674,-1.12929,-4.40100000000001,-1.63999999999986,-1.06839,-0.594355
0.098,0.00059174,-0.0783827,-0.135093,-1.13086,-4.41899999999998,-1.57000000000007,-1.07005,-0.594977
0.099,0.00045443,-0.0795143,-0.13953,-1.13235,-4.43699999999999,-1.48999999999999,-1.07169,-0.595593
0.1,0.000312673,-0.0806474,-0.143985,-1.13376,-4.45500000000001,-1.41000000000013,-1.07331,-0.596202
0.101,0.000166454,-0.0817818,-0.148456,-1.1351,-4.471,-1.3399999999999,-1.07489,-0.596805
0.102,0.0000157554,-0.0829176,-0.152942,-1.13636,-4.48600000000005,-1.26000000000006,-1.07646,-0.597402
0.103,-0.000139437,-0.0840545,-0.157444,-1.13755,-4.502,-1.19000000000002,-1.07799,-0.597991
0.104,-0.000299138,-0.0851927,-0.16196,-1.13868,-4.51599999999999,-1.12999999999985,-1.07951,-0.598575
0.105,-0.000463361,-0.0863319,-0.166489,-1.13973,-4.529,-1.04999999999999,-1.08099,-0.599151
0.106,-0.000632119,-0.0874721,-0.17103,-1.14072,-4.54099999999999,-0.990000000000046,-1.08246,-0.599721
0.107,-0.000805426,-0.0886133,-0.175584,-1.14164,-4.554,-0.920000000000031,-1.08389,-0.600283
0.108,-0.000983292,-0.0897554,-0.180149,-1.1425,-4.56500000000001,-0.860000000000082,-1.08531,-0.600839
0.109,-0.00116573,-0.0908983,-0.184725,-1.1433,-4.57599999999999,-0.799999999999911,-1.08669,-0.601387
0.11,-0.00135275,-0.092042,-0.189311,-1.14404,-4.586,-0.739999999999962,-1.08805,-0.601929
0.111,-0.00154435,-0.0931863,-0.193907,-1.14472,-4.59599999999999,-0.680000000000013,-1.08939,-0.602463
0.112,-0.00174056,-0.0943314,-0.198511,-1.14534,-4.60399999999999,-0.620000000000064,-1.0907,-0.60299
0.113,-0.00194138,-0.095477,-0.203123,-1.14591,-4.612,-0.569999999999959,-1.09198,-0.603509
0.114,-0.00214681,-0.0966232,-0.207743,-1.14642,-4.62000000000001,-0.51000000000001,-1.09324,-0.604021
0.115,-0.00235687,-0.0977698,-0.21237,-1.14687,-4.62699999999999,-0.450000000000061,-1.09448,-0.604526
0.116,-0.00257155,-0.0989169,-0.217003,-1.14728,-4.63299999999999,-0.410000000000021,-1.09569,-0.605023
0.117,-0.00279088,-0.100064,-0.221642,-1.14763,-4.639,-0.34999999999985,-1.09687,-0.605512
0.118,-0.00301484,-0.101212,-0.226286,-1.14794,-4.64400000000004,-0.310000000000037,-1.09803,-0.605993
0.119,-0.00324345,-0.10236,-0.230935,-1.14819,-4.64900000000001,-0.250000000000083,-1.09916,-0.606467
0.12,-0.00347671,-0.103509,-0.235588,-1.1484,-4.65299999999999,-0.210000000000043,-1.10026,-0.606933
0.121,-0.00371463,-0.104657,-0.240245,-1.14856,-4.65699999999999,-0.159999999999938,-1.10134,-0.607391
0.122,-0.0039572,-0.105806,-0.244904,-1.14868,-4.65900000000002,-0.119999999999898,-1.1024,-0.607841
0.123,-0.00420444,-0.106954,-0.249566,-1.14875,-4.662,-0.0700000000000144,-1.10343,-0.608283
0.124,-0.00445634,-0.108103,-0.25423,-1.14877,-4.664,-0.020000000000131,-1.10443,-0.608716
0.125,-0.0047129,-0.109252,-0.258895,-1.14876,-4.66499999999997,0.0100000000000655,-1.1054,-0.609142
